Wavelength Range,Primary State,Secondary State,Mean,Std Dev
<205,N/A,N/A,N/A,N/A
205-210,--,N/A,-96.13,15.93
210-215,++,--,6.43,35.34
215-220,++,N/A,63.7,10.83
220-225,--,+,-34.26,38.49
225-230,--,N/A,-103.63,5.09
230-235,--,N/A,-57.0,19.83
235-240,-,+,-4.61,8.65
240-245,+,N/A,5.64,0.67
245-250,+,N/A,2.81,0.51
250-255,+,N/A,6.46,2.89
255-260,++,+,21.65,5.62
260-265,++,N/A,44.59,7.55
265-270,++,N/A,77.87,12.02
270-275,++,N/A,123.25,13.09
275-280,++,N/A,153.81,3.29
280-285,++,N/A,116.29,24.83
285-290,--,++,-14.79,47.65
290-295,--,N/A,-156.02,29.66
295-300,--,N/A,-207.5,3.45
300-305,--,N/A,-167.31,21.15
305-310,--,N/A,-90.32,21.23
>310,++,+,20.63,49.45
